"filename", "language", "CSS", "JavaScript", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\.eslintrc.json", "JSON", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\README.md", "Markdown", 0, 0, 20, 0, 0, 0, 15, 35
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\_middleware.js", "JavaScript", 0, 0, 0, 0, 0, 7, 2, 9
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\animations\animation-constants.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\calculators\BindingEnergy.js", "JavaScript", 0, 191, 0, 0, 0, 0, 8, 199
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\calculators\ElectricFields.js", "JavaScript", 0, 164, 0, 0, 0, 0, 15, 179
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\calculators\EscapeVelocity.js", "JavaScript", 0, 63, 0, 0, 0, 0, 9, 72
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\calculators\GravitationalForce.js", "JavaScript", 0, 77, 0, 0, 0, 0, 16, 93
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\calculators\GravitationalPotential.js", "JavaScript", 0, 121, 0, 0, 0, 0, 10, 131
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\calculators\HalfLife.js", "JavaScript", 0, 149, 0, 0, 0, 0, 22, 171
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\calculators\KeplersThirdLaw.js", "JavaScript", 0, 132, 0, 0, 0, 0, 19, 151
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\http\HTTP-main-contact.js", "JavaScript", 0, 75, 0, 0, 0, 0, 12, 87
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\icons\Checkmark.js", "JavaScript", 0, 30, 0, 0, 0, 0, 3, 33
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\p5-interactions\P5CubicGraph.js", "JavaScript", 0, 253, 0, 0, 0, 4, 25, 282
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\p5-interactions\P5LinearGraph.js", "JavaScript", 0, 132, 0, 0, 0, 5, 36, 173
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\p5-interactions\P5LogsGraph.js", "JavaScript", 0, 150, 0, 0, 0, 7, 35, 192
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\p5-interactions\P5NormalDistribution.js", "JavaScript", 0, 142, 0, 0, 0, 7, 48, 197
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\p5-interactions\P5QuadraticGraph.js", "JavaScript", 0, 141, 0, 0, 0, 8, 42, 191
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\p5-interactions\P5TrigTriangle.js", "JavaScript", 0, 269, 0, 0, 0, 3, 66, 338
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\p5-interactions\P5Vectors.js", "JavaScript", 0, 219, 0, 0, 0, 4, 48, 271
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\page-construction\AccountModal.js", "JavaScript", 0, 157, 0, 0, 0, 2, 19, 178
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\page-construction\CodeBlock.js", "JavaScript", 0, 42, 0, 0, 0, 0, 5, 47
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\page-construction\DynamicSyntaxHighlighter.js", "JavaScript", 0, 10, 0, 0, 0, 1, 2, 13
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\page-construction\ErrorBoundary.js", "JavaScript", 0, 30, 0, 0, 0, 1, 2, 33
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\page-construction\FastRead.js", "JavaScript", 0, 65, 0, 0, 0, 2, 15, 82
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\page-construction\Footer.js", "JavaScript", 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\page-construction\Header.js", "JavaScript", 0, 44, 0, 0, 0, 0, 8, 52
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\page-construction\Layout.js", "JavaScript", 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\page-construction\LoadingIcon.js", "JavaScript", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\page-construction\Nav.js", "JavaScript", 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\page-construction\Path.js", "JavaScript", 0, 28, 0, 0, 0, 0, 8, 36
"c:\Users\paddy\OneDrive\Coding\uni-sine\uni-sine\components\page-construction\Payment.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
